,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
69,-576.2867,130.61398,-9.043133,2.695085,-1.8543268,2.9731288,-9.179506,-9.659063,-8.581906,-11.54733,-5.7300925,-6.047333,-3.4371011
70,-563.02277,135.24284,-15.260541,6.996362,-3.1489468,5.1628375,-15.256394,-10.360035,-10.579384,-11.286151,-9.071046,-5.9008317,-6.496194
71,-565.2321,141.78314,-8.702624,8.722633,-2.2786531,6.0590334,-14.702784,-11.674491,-9.611058,-11.250533,-8.185259,-3.9555984,-7.1323647
72,-549.9837,143.59737,-13.598436,-1.5090272,-2.205013,2.2118735,-13.91117,-12.2536955,-8.360282,-10.73598,-5.1414886,-7.276262,-5.404262
73,-563.44885,137.14774,-20.48765,-0.58445007,-5.0259857,5.454611,-9.964706,-5.3301296,-9.996878,-9.173904,-5.1832237,-5.7493696,-6.526716
74,-551.3072,124.927895,-8.172244,-6.2227707,2.5520618,0.009111121,-8.970146,-8.548939,-5.9688573,-8.290589,-5.9875727,-7.754585,-5.5673966
75,-539.08905,145.33165,-3.6309485,-4.535827,-0.9578266,-0.4444275,-13.184166,-11.964359,-6.2469344,-10.987964,-7.980014,-7.6807137,-4.836838
76,-546.16565,151.31892,-16.721756,-1.5748093,-6.4740825,1.931972,-16.476072,-8.7297,-8.173166,-11.37699,-7.48127,-6.210326,-5.604451
77,-549.3185,149.08347,-13.222695,-0.30071816,-8.77795,1.5654987,-15.564172,-9.39198,-8.333914,-9.744915,-6.0953712,-6.811512,-6.2505827
78,-533.8434,145.66002,-36.507584,-3.3542356,-7.1811166,-0.29496738,-12.135579,-6.620514,-6.53871,-5.9439626,-6.7096863,-9.813786,-7.218304
79,-548.58527,145.91751,-13.4761505,3.6434042,-9.036311,2.0666337,-11.994201,-5.0834517,-5.7560205,-6.6837673,-4.650448,-6.3195276,-5.161684
80,-565.37823,140.9934,-9.961101,5.0741787,-8.852785,0.74286646,-13.065075,-5.710312,-6.0282235,-8.188048,-8.805461,-7.4310026,-6.7682333
81,-573.48706,140.75748,-7.4307714,0.06362467,-10.415941,0.38147476,-13.835217,-5.200019,-4.814005,-6.781728,-6.9295707,-6.5379057,-6.1899624
82,-573.0285,140.80112,-4.3362255,0.40344018,-10.091801,-2.9781106,-10.100796,-4.689088,-5.3600373,-8.051808,-5.549074,-7.7140026,-5.4966154
83,-572.8378,135.52734,-11.575217,2.06773,-10.838714,0.60375476,-12.059882,-4.3715286,-3.363613,-5.511209,-8.06596,-7.4407496,-7.580546
84,-557.44934,144.10707,-12.5150385,2.176511,-10.176346,0.5188571,-12.865792,-4.643734,-5.2700257,-7.5740647,-5.9111238,-5.938997,-4.9504147
85,-565.83435,142.23097,-9.124305,1.8144573,-11.172988,2.8475826,-8.944624,-3.2336202,-4.4262395,-4.428496,-5.308967,-5.895622,-6.348233
86,-552.0303,148.70963,-14.955021,-2.2014134,-11.817025,2.164287,-10.463354,-4.761915,-6.564095,-4.639611,-3.947977,-4.877503,-5.4525485
87,-546.4523,154.22676,-7.3928123,0.04353968,-10.085716,0.66990274,-10.482062,-7.7638583,-5.644748,-9.321374,-8.115214,-7.5445027,-6.838547
88,-560.10004,146.54805,-13.012518,-1.933342,-9.44213,2.6173089,-10.032899,-6.063563,-3.3607938,-4.703718,-7.852537,-6.7256656,-7.3439174
89,-522.28076,146.85855,-44.44223,-5.8981233,-7.299957,0.5310713,-15.124139,-11.2819805,-4.8342705,-5.243441,-5.59879,-8.162348,-7.7512836
90,-552.19867,153.2306,-10.065827,-0.9934322,-9.049374,2.1756165,-10.180822,-5.5590873,-3.9427588,-7.44501,-8.778078,-7.12408,-6.3161063
91,-555.53467,152.742,-10.91915,-4.6926513,-13.128516,-0.76903427,-10.606874,-4.1394296,-6.0779457,-4.7531576,-5.209462,-4.6086073,-4.443661
92,-549.83325,139.16417,-1.7549917,-11.1206255,-4.999474,-3.5136054,-7.0374384,-7.034429,-4.362954,-5.837103,-4.801355,-6.1544347,-4.757039
93,-556.1665,148.79253,-12.810575,0.08251193,-9.981748,1.7408607,-9.466412,-5.1117463,-4.935047,-5.3333836,-7.386723,-6.6074376,-7.7663045
94,-516.7868,158.6401,-7.7093487,-5.278934,-4.31115,-2.6000373,-12.657573,-15.349786,-10.60341,-11.51256,-12.257379,-13.398708,-6.255248
95,-537.7207,150.412,-15.327273,2.1896656,-9.297936,4.3112354,-13.309149,-6.9638553,-8.132095,-5.954713,-6.0034704,-7.2113504,-5.918117
96,-561.7613,148.0935,-6.2901607,2.7772887,-10.325078,-0.88066524,-12.351359,-6.4289327,-6.903056,-6.4145017,-7.3440304,-7.1643705,-7.2140303
97,-546.0032,134.19302,-4.9614644,-2.919717,-4.3423214,0.45093012,-10.317203,-9.589328,-5.478718,-9.175232,-5.939839,-8.102758,-5.243843
98,-561.92444,140.76701,-11.534084,2.835358,-7.555643,4.273422,-11.735646,-4.2950206,-5.146447,-6.3720965,-6.9229317,-6.176504,-6.759606
99,-550.94104,147.16647,-15.57563,1.6230448,-5.9054036,3.3436413,-12.727085,-8.800426,-8.860067,-9.228595,-7.377824,-8.215619,-8.868314
