,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16
21,-526.86237,134.91438,-7.250275,-1.7487372,-5.1030393,0.12656058,-11.468067,-9.663273,-1.2338105,-11.713798,-7.127455,-2.7769454,-1.186101,-5.522635,-3.0177379,-3.3133192,-1.9127533,0.010023966,-0.028303819,-0.01247161,0.020556116,0.011171792,0.011520457,-0.005482116,0.0015372372,0.002992983,0.0018821734,0.0013065876,0.00181344,0.0021777537,-4.1014355e-05,-0.001997572,0.0034514454,0.0057108337
22,-613.06476,111.6036,14.470606,10.797944,4.1523585,6.1218395,5.642401,-1.1562299,3.999523,-1.0692638,-0.66031265,-2.715044,-0.8967077,-4.6149545,-5.744855,-5.8718915,-3.787728,0.12183526,0.041233428,-0.02897032,-0.05633602,-0.059044007,-0.067444675,-0.041439988,-0.030689813,-0.005553939,-0.008363722,0.002831925,-0.008240984,-0.0044030985,-0.0073777516,-0.004210429,0.006674324,0.021547606
23,-502.87872,119.551285,8.057121,-3.9562554,-0.6103743,1.5588605,-12.512483,-13.144287,-4.8811607,-8.053895,-7.975343,-4.146458,-5.36707,-5.995896,-4.3424225,-3.009741,-0.4260779,-0.05232871,-0.014830562,0.018733159,0.00073150056,9.2920214e-05,-0.0151227275,0.00910322,0.03308141,0.01785133,0.0077265687,0.0047795097,0.006475171,-0.00090862176,-0.009177342,-0.009194697,-0.0068628807,0.001257895
24,-533.9206,125.42516,-6.9892106,8.30684,-4.219884,1.802541,-6.6743903,-7.445171,-0.54685044,-12.750323,-5.997554,-3.6198695,-1.0753012,-4.0241656,-2.3503308,-2.3020976,-1.4291241,-0.037782848,0.034964684,0.015159093,-0.039890245,0.011143101,-0.0011628834,0.0015393612,0.005029095,0.005346248,0.0009816263,-0.007279929,0.00011417258,0.0009901837,-0.0041147326,-0.0049490146,-0.0031773665,0.00037200077
25,-533.19855,131.07683,-11.245217,6.13185,2.7802565,1.89382,-11.68533,-11.610558,1.5932474,-10.797004,-5.6202927,-2.665289,-1.7128356,-5.1254826,-2.4884334,-1.5451916,-0.094212,-0.017198784,-0.011722276,-0.007265293,-0.026123852,-0.017828047,-0.00042682866,-0.00093013,0.0033174139,0.008363213,0.010975162,0.012423565,0.0075661703,0.008516449,0.0015764947,-0.0021743407,-0.0011807652,0.002726568
26,-537.6548,138.18483,-7.0781074,-0.100797646,3.017276,4.4085116,-12.588547,-13.192334,-2.1201901,-11.58073,-4.2159014,-3.0105593,-2.94089,-8.398214,-4.302583,-2.2532482,-1.8585175,-0.032991655,-0.033464942,0.004353442,0.030690394,0.04365218,0.032024868,0.010649674,-0.0076917945,-0.014424569,-0.0023552224,-0.0013637533,-0.0021013436,-0.0013958625,-0.003360617,0.007978264,-0.00438861,-0.007857357
27,-545.7722,121.96048,-4.068061,5.4899845,-2.4058192,3.715077,-7.236708,-7.399792,0.18185127,-8.822199,-3.6221578,-3.1329873,-1.4097394,-7.8529277,-5.0004916,-4.1787376,-2.910429,-0.023131067,0.022287413,0.027698178,-0.018979225,-0.011440493,-3.6883182e-05,0.009951795,-0.0077739945,-0.008654468,0.0022968135,0.0028977974,0.0022508467,-0.0028584371,-0.0031597945,-0.003586826,-0.0055332407,-0.0012830145
28,-565.6887,113.946686,-5.183311,3.524883,-2.2855299,2.1882966,-6.7609186,-11.098702,-0.31939194,-5.974584,-2.9568691,-3.1832435,-0.07585652,-5.416939,-4.466432,-4.371939,-1.372388,-0.032280557,0.001673621,3.460926e-05,-0.01467141,0.009474613,-0.005110437,0.0047093458,0.008154211,-0.002445268,-0.0030496973,0.0031817476,0.00047763795,0.0055035446,0.002235384,-0.00012520404,0.0025950747,0.004481598
29,-534.56836,113.84804,-7.0368023,-4.3355455,-2.60139,-1.4257953,-13.482832,-12.492236,-5.593328,-8.702878,-4.337376,-1.1228607,-1.3743606,-4.7621794,-6.1490602,-2.9283965,-2.8577142,-0.13083547,-0.057773024,0.020376066,0.011579177,0.017013818,0.002351984,0.0026589374,-0.009659703,-0.012359689,0.014978125,0.010498689,0.0038083494,0.002719787,-0.00054674427,0.0021198716,0.002793018,0.0076650004
30,-597.6362,106.21727,13.090217,18.834831,4.9208283,3.3493392,3.6924243,-2.346551,2.6199546,-4.79879,-2.8876092,-4.156203,-1.6144395,-4.147476,-3.6659946,-6.0498447,-5.2626505,-0.037219577,-6.5552e-05,0.03640443,0.023201317,0.026342424,0.021556644,0.006518982,-0.002972757,0.0018349764,0.0039184545,0.0139593985,0.016592907,0.008787172,0.0027488598,0.0010348603,0.0065265647,0.007765304
