,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16,mfcc_delta1_17,mfcc_delta1_18,mfcc_delta1_19,mfcc_delta1_20,mfcc_delta1_21,mfcc_delta1_22,mfcc_delta1_23,mfcc_delta1_24,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,mfcc_delta2_21,mfcc_delta2_22,mfcc_delta2_23,mfcc_delta2_24
10,-564.30963,125.80865,-8.3883915,5.7731647,-1.962331,-14.520263,-28.48667,-8.557075,-6.150233,-16.852621,-8.931211,-9.883773,-5.9319406,-5.6655154,-8.369765,-5.1056414,-1.8509239,-4.537796,-5.197887,-3.3466506,-4.300309,-4.1318736,-7.546395,-4.401545,-1.8830476,-0.05680203,-0.027767638,4.3738666e-05,0.010035451,0.038777728,0.015190172,-0.0044620843,-0.012442587,0.003919981,0.015575499,0.013964084,0.0012054346,-0.02854531,-0.0029337367,0.010503178,-0.0029018428,0.0116707925,0.0009310079,-0.011329986,0.0009863533,0.0040947795,-0.0036946062,-0.00064631924,0.0052226824,0.0010104408,-0.035998914,0.0115193,0.036976907,-0.0012727402,-0.0020147257,0.0035603854,0.0063029286,0.0019823497,0.013148336,0.0033333274,-0.008986599,0.00039071916,-0.0051137204,0.0051438618,0.010974083,-0.0014157679,-0.0021465628,0.00069144944,0.0015481014,0.006478622,0.0007692608,-0.005129478,0.00064061966,-0.0035541484,-0.0031881179
11,-554.2247,113.802475,8.86291,-6.49561,-5.8871684,-13.013392,-23.08238,-13.144893,-5.117926,-13.2515135,-11.149805,-4.993185,-7.0894938,-8.994462,-5.4002657,-3.2557206,-5.168114,-6.556648,-5.135953,-3.6992354,-3.7275693,-4.979491,-5.120457,-3.2649462,-2.7938237,-0.116833724,-0.066668354,0.04991618,0.024687741,0.012872104,0.03383682,0.020846438,0.022903845,0.006682197,0.0018483881,0.004650077,-0.007114026,-0.0056765564,-0.001967459,0.018710887,0.015132203,0.0022299073,0.01194405,-0.000934311,0.0034029994,0.01073272,-0.007427669,0.010596788,0.010676087,-0.0099094445,-0.038391724,-0.0143857505,0.02636618,0.0068975394,0.0009390506,0.009455389,0.0005023469,0.0010070306,-0.000990056,0.0002124382,0.0005773442,-0.0068765627,-0.0033237177,0.00040060809,0.0004655779,0.0023741836,0.006164352,0.0063192337,0.00088009896,0.00032364685,0.0015931068,0.0028844946,0.006163226,-0.0016677179,-0.00288973
12,-532.0805,122.161995,3.257676,-6.279842,-1.669791,-12.171198,-25.966242,-12.595783,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719,-9.423771,-6.7308993,-6.216419,-4.9091716,-7.110399,-6.8063483,-4.9791956,-5.181255,-4.557924,-5.856102,-5.8583984,-4.034584,-0.045068238,-0.084503196,-0.03122776,0.032544337,0.007166167,-0.01098076,-0.007917701,0.009726809,0.0064042923,0.00035230126,0.014167865,0.014381236,0.002920276,-0.006599921,-0.0060058096,-0.001337655,0.0030190093,-0.0048422846,-0.0127230445,-0.0046174987,0.00034817067,0.0045929532,-0.0006697477,-0.0055073653,0.0031964658,-0.026658894,-2.0274685e-05,0.024831306,-0.0049089966,-0.008302998,0.005367359,0.008648018,0.000979806,-0.0021240008,0.01117093,0.008464568,0.002272921,0.0026080068,0.004542593,0.0058173137,0.0048155985,0.008429518,0.0029731032,0.0016346187,0.0057910285,-0.0033881967,-0.005811805,-0.0016247272,-0.0010754162,0.00089676253
13,-577.93,129.13718,5.6334233,-3.5861793,-8.452006,-9.771824,-23.126677,-12.401442,-5.121089,-16.239025,-11.310726,-4.6281486,-9.3684025,-10.038823,-5.4873953,-4.19133,-4.3584504,-5.5903935,-4.5068293,-3.9592402,-4.455796,-4.5473986,-5.5754943,-4.6507273,-3.1390297,-0.26776356,-0.117413215,0.12018982,0.02612158,-0.0032488427,0.025048861,0.027384913,0.032900825,0.008674626,0.01580933,-0.0018122109,-0.03178514,-0.0017924114,0.0021499507,0.008916885,0.0065990193,-0.020316694,0.0040615583,0.006782536,0.0066935606,0.017384715,-0.01947321,-0.0018849102,0.024152031,-0.0032483158,-0.015337831,0.0053039654,0.020675179,0.0021841966,0.002128236,0.0060566263,-0.004033948,-0.0019614042,0.007469931,0.0036180844,0.0052487343,0.0024413099,-0.0055326708,-0.0055621774,-0.0029767645,0.0050980174,0.003668892,1.9561652e-05,0.0044796653,0.0030609537,-0.0024987985,-0.0011892398,0.0012786997,-0.005217516,0.00071759726
14,-580.5933,116.22137,7.03475,-7.5840755,-8.441549,-14.151672,-21.11725,-8.974139,-4.405136,-14.6991,-10.941506,-3.6703439,-6.458003,-9.47301,-6.19838,-4.6707845,-4.6975093,-4.4904656,-4.87214,-4.808662,-4.596305,-4.5315495,-5.3126507,-4.3972597,-2.4359288,-0.040517207,-0.025717515,0.0089322245,0.0014296388,-0.006294321,0.0046764654,0.013474788,0.0052739475,-0.0016628881,0.009095382,0.011252017,-0.004332027,-0.009318894,-0.0005575295,0.0026500013,-0.0038863183,-0.011472118,-0.010206508,-0.0014395505,0.0034030126,-0.002303187,-0.011208995,-0.009879391,-0.003408165,-0.001055156,-0.044304743,-0.030583167,0.011191363,0.009477194,-0.0037418187,-0.002334481,0.00067367556,0.0012169814,0.0041642673,0.0067499895,0.0035468177,-0.0018617547,-0.00056979695,0.0023248363,0.0003415999,0.002226907,0.00660392,0.003039881,-0.0015594331,-0.00037980767,0.0011562312,0.0013946785,0.0014287975,0.003006599,0.0052289627
15,-608.86426,139.97734,-2.0790923,-3.3234203,-3.3147511,-8.143027,-27.200611,-12.01665,-1.9609929,-15.83792,-11.021015,-2.5194488,-8.382824,-9.791206,-3.311884,-5.7282243,-4.4189906,-3.716582,-5.099066,-3.8429914,-3.2871795,-4.2606,-5.1104774,-2.67425,-2.3493395,0.030247707,0.007489619,-0.014800003,-0.0149116665,-0.017384917,0.0018446865,-0.0029531312,-0.004288915,0.0014013463,-0.003332887,-0.003958997,-0.0038985289,-0.0021913508,-0.007799291,-0.0039463914,-0.00020890821,-0.0049265,-0.0028675534,-0.001895629,-0.004912248,-0.002193189,-0.0016056043,-0.0040861303,-0.00041850618,-0.0010681825,-0.02805727,-0.011766633,-0.006906275,-0.0045434586,0.010892007,-1.8824674e-05,0.0064087873,0.004190543,0.0061785737,0.004261449,-0.002765045,-0.0007824233,-0.0032344537,0.0027994036,0.00083001726,0.0065824706,0.005805493,-0.0028669573,0.002876036,0.00056080567,0.0005353901,0.002232781,0.00029522306,-0.0010156257,0.00089395826
16,-566.7257,127.316864,-1.8085271,-7.001898,-1.4312575,-13.256862,-29.136923,-13.995047,-4.487078,-15.481168,-12.048746,-6.164549,-8.61782,-8.320825,-3.919024,-3.7551384,-5.0101523,-5.8503933,-4.9578714,-3.3851051,-3.8536677,-4.597022,-5.666539,-4.1209555,-2.2041905,-0.11271216,-0.062486555,0.025698528,0.014790197,0.010577377,0.012317875,0.0024266136,0.008676771,0.012037846,0.0015585346,0.0015461735,-0.010083771,-0.029985934,-0.010879145,0.0176071,0.00961944,-0.007182383,-0.008294421,-0.001998626,0.00016332146,-0.006918041,-0.009877254,-0.0035598474,-0.0027651938,-0.0032291638,-0.0016145399,-0.006526888,0.009905146,0.0054604243,-0.009116397,-0.0012997811,0.0048189843,0.00692601,0.007008001,-0.0003024461,-0.0032098826,0.00096757995,0.004201019,0.0059127132,0.0051687793,0.0035985154,0.002042809,-0.0015548046,-0.002778652,0.00076356804,0.0030898273,0.002008043,0.003050231,0.0052973637,0.0027176882
17,-570.0827,107.300285,15.358534,-9.439959,-11.375952,-13.493914,-18.476358,-9.8887615,-5.6472116,-12.069972,-9.138751,-3.3386598,-5.626012,-7.985735,-4.4702115,-2.584844,-3.8325653,-4.870037,-4.858304,-3.8558304,-4.079369,-4.693111,-4.8607836,-3.884015,-2.3134155,-0.117785975,-0.06101343,0.030527605,0.009632123,-0.00965304,0.013357673,0.04966974,0.016184319,0.00046565087,0.010864133,0.0037195904,-0.0011480605,-0.005343967,-0.004676392,-0.008096764,-0.0027592927,-0.00236074,-0.01009315,-0.0032123397,0.008582086,0.00016505839,-0.0015314413,0.0056544575,0.00051269174,0.013830955,-0.07029832,-0.0019896668,0.029555278,-0.011117003,0.010167301,-0.0012021956,0.009559208,0.008386205,0.0028474976,0.0009977723,-0.0019413341,0.0084623955,-0.002742889,0.0007510947,0.0006274708,-0.006135411,0.0026201396,0.0024333561,0.0009221266,0.0019768714,-0.0020754987,-0.002663784,0.0009035219,0.0019991589,0.004933775
18,-598.81165,134.42453,12.717386,-8.94103,-9.825894,-11.770548,-16.873207,-9.722428,-6.93426,-14.616319,-10.54086,-3.4145427,-6.8499002,-7.3862853,-4.9628854,-4.9133587,-3.2301888,-4.4837346,-4.791267,-3.3444233,-4.1338096,-4.4377446,-4.79721,-2.6055958,-0.30931085,-0.08066101,-0.014204046,0.039298378,-0.0048122564,-0.0041396376,-0.013265434,-0.0016083855,0.008925202,-0.011403585,-0.013082383,-0.0013328834,0.0014170558,-0.0057102274,-0.008415125,-0.0124356365,-0.010114911,-0.00091881613,-0.004154894,-0.007267769,-0.0096670855,-0.0008956437,0.0024004476,-0.008079812,-0.0044879974,-0.0012164845,-0.01312635,-0.009765171,0.0051756254,0.014283546,0.0152817555,0.0024784643,0.0015846251,0.0066198804,0.009239272,0.0054131476,-0.003046596,-0.00261515,-0.0038606972,0.0022146534,0.0024539833,-0.00541236,-0.0023820212,0.003312319,0.005867439,0.0043391874,0.0052992324,0.0060489327,0.004522995,0.0066350237,0.0070962855
19,-576.92053,119.34558,6.0213847,6.154062,-2.0200448,2.6835012,-1.6271812,-5.889806,2.3660388,-2.4761357,-0.7615861,-1.0993606,0.44436204,-4.3093724,-1.6452692,-1.671051,-1.8522619,-2.6083157,-3.277668,0.20508488,-1.1556906,-0.83412844,-3.068913,-1.4841195,-5.337232,-0.0073837237,-0.0019911584,0.002698156,0.004417127,0.004960665,0.0052848384,0.004087664,0.0057112994,0.003577676,0.0023040324,-0.00080999994,-0.0017338269,-0.0024981769,-0.0021551463,-0.0008621303,-0.0022572025,-0.004314147,-0.0025837629,-0.0012448659,-0.0026037046,-0.003829498,-0.004018733,-0.0024074332,-0.0028775497,-0.002686715,-0.0008099699,-0.00051261944,-0.0004597978,0.00049420557,2.295492e-05,0.00071870117,0.0009449585,0.00089976576,0.0010793031,0.00086521596,0.0005035408,0.0004864517,-0.0007922349,-0.00062429067,0.0012241363,4.5787914e-05,-0.001118034,-0.00026950156,0.0005894269,0.00065616524,0.00024218309,9.760785e-05,0.0008474519,0.0006450954,0.00016649933
