,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
3234,0.12970899,-9.460591,23.809252,0.07690417,-0.001181346,0.047346335,26.724463,-2.3566406,-21.949951,-7.840651,34.82542,0.0,0.0,4.038233,6.987311,16.30675,330.53076,1644.3121,0.0,1225.2172,1484.9701,3.853021,2061.201,1056.2301,-8.03014
3235,0.09482545,-13.434394,20.648829,0.09215728,-0.023789883,0.0065669087,25.480719,8.28064,-8.225446,-3.4048834,0.0,0.0,0.0,0.0,0.0,0.0,377.79495,1437.643,-201.0,1211.3309,1263.6948,-201.0,2172.1716,841.1299,-201.0
3236,0.41471592,0.8367161,17.61693,0.092870064,0.005651114,0.22190589,18.834032,-23.769348,-22.829939,-17.920273,36.442097,0.0,0.0,-5.6923184,-5.290517,13.276423,743.9941,1659.4194,10.54269,1638.3568,1068.131,10.988174,3120.2527,561.71124,-10.66263
3237,0.3446933,-8.865008,12.266042,0.07246272,-0.024326965,0.16948082,29.469442,-27.388723,-13.642129,-14.749672,34.062992,0.0,0.0,3.406398,-6.6078815,11.023407,900.52386,1179.2579,12.778762,1874.6078,802.0308,0.4645311,2967.3298,762.72235,-5.5782905
3238,0.6942238,-9.466673,16.031279,0.11767421,-0.020532755,0.3607521,21.192566,-34.222637,-7.7982984,-37.94806,41.070545,0.0,0.0,3.440602,-5.1252737,10.388688,813.1163,1304.9337,7.959284,1841.1699,1083.0067,-3.9967926,2703.9119,781.1697,-7.5080414
3239,0.11379542,-7.4809775,18.267925,0.04382496,-0.015026887,0.0122048445,19.912779,-2.5159414,0.4548467,-2.3843477,38.44116,0.0,2.0819309,-1.5747372,8.86649,15.798962,691.95605,1059.2631,0.0,1705.9497,1005.30255,-22.477585,2588.284,1028.6346,-17.994207
3240,0.086761236,-18.057755,31.61625,0.02794467,-0.025810795,0.00993071,28.498047,11.103699,-2.0125568,-2.4517126,0.0,0.0,0.0,0.0,0.0,0.0,831.25433,1402.9974,-201.0,1923.5089,1247.4504,-201.0,2746.0256,1202.2548,-201.0
3241,0.1385988,-17.885086,26.080973,0.09565878,-0.033343364,0.092537366,26.873198,7.312134,2.9960492,-18.95848,35.038654,0.0,1.0649102,1.5745655,6.07119,36.94694,934.9504,1316.0852,-6.7881756,2163.1194,636.58905,-20.783936,3198.6843,627.9758,-28.03792
3242,0.84055096,-4.85302,16.451813,0.13436425,-0.026940852,0.09425372,27.498022,-34.85239,-1.1314108,-22.446642,37.853813,0.0,1.3578173,11.286305,-13.568616,7.4035583,330.80124,1320.212,0.0,1482.2018,889.3728,8.244022,2738.6648,919.32886,0.66506696
3243,0.34964117,-1.4506935,18.948248,0.07443049,-0.004267709,0.03470775,21.971552,-33.35704,-17.417002,-25.50252,34.517483,0.0,0.0,-3.935921,-1.4293224,5.716846,872.4533,1706.8024,16.523863,1658.1152,969.63385,10.350281,2993.1094,434.5537,-6.7843
