,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
33,-537.67926,134.71306,-4.5327845,6.458971,-0.4160848,0.22235462,-9.362266,-10.341046,2.5101776,-8.062428,-8.07476,-6.999519,-2.1597471,-0.047754463,-0.028710768,-0.0238344,-0.019835517,-0.019040162,-0.018714266,0.0060490347,0.0027736116,0.021394245,0.018044302,0.027421225,0.027071754,0.010189074,-0.024623616,-0.022586532,-0.012327892,-0.01016668,-0.004215688,0.0062235645,0.0025995378,0.0010188407,-0.006090456,-0.0057604495,-0.0035094116,0.002088398,-0.002209496
34,-592.8064,107.08213,4.3769875,9.546607,0.42976412,3.5187593,4.2716546,-2.4439518,0.5899718,-4.034645,-0.28576282,-2.9267304,-1.1742548,0.022163117,-0.009940794,-0.04104972,-0.018172216,-0.011092654,-0.0065611275,-0.019446623,-0.015367508,0.0017824183,-0.0018112689,0.0042847274,0.0045859045,0.007311604,-0.10482934,-0.039545882,0.014761874,0.0077993986,0.010672944,0.0028492264,0.007953358,0.0032672973,0.004508249,0.009158525,0.009013681,0.0041309725,0.0032871857
35,-527.37335,108.0231,10.248007,5.3767977,10.827052,7.9082465,-2.9042437,-2.6431215,0.921862,-2.4243846,-2.29887,-2.2489226,-4.152369,-0.04637773,-0.012647058,-0.016312104,-0.037938684,0.0046161786,0.00021955172,0.006167373,0.0071047316,-0.010581448,-0.002598087,0.012482535,0.017347403,0.008165415,-0.021025276,-0.027781684,-0.0075565763,0.010698242,0.009516136,0.004051098,-0.0008333277,-0.002738842,0.0003436051,0.012202217,0.013281656,0.0018297752,-0.01074769
36,-480.89755,86.53725,3.4100864,-10.515843,-0.12341942,-0.6410967,-13.353883,-13.665908,-6.6111126,-7.355633,-7.810216,-3.596083,-4.2706895,-0.009510815,6.847266e-06,0.0018905796,-0.003918374,0.0015304224,-0.0026774858,-0.001374297,0.001801336,-0.00086002867,-0.0015542828,-0.0019251165,-0.0022263722,0.000371767,-0.0028879708,0.0017677821,0.0026057162,-0.0018512923,-0.00013561401,-8.627382e-05,-0.0013300253,-0.0007714515,0.00075779157,0.00026111252,-0.00040726634,0.00046397038,0.00021666173
37,-507.5112,122.49696,-9.279888,-6.3396883,2.7445576,1.1393492,-14.171757,-12.027995,-2.8436637,-8.105313,-8.331164,-1.6920233,-2.0020401,-0.010987858,-0.006394614,0.0033778471,0.0019634627,-0.00038899365,-0.0008785797,-0.00047537568,0.00072022463,0.0017409303,0.0010217895,-0.00025900474,0.00042468795,0.00036423138,-0.0014735543,-0.001654411,5.0043338e-05,0.0011270762,0.00034564146,0.00047766746,0.001163031,0.00019581233,-0.00039845423,0.00029252487,0.00059797586,0.00044945412,-2.4963703e-05
38,-520.8087,124.90806,-3.2759023,-4.7218266,3.7801194,3.066941,-10.631955,-10.042986,-1.5092887,-5.6591964,-5.976821,0.22679013,-1.3100144,-0.006663725,-0.0024369971,0.0035007177,0.0015289267,0.0005999873,0.00021949927,0.0008731597,0.0008889992,0.00046000106,0.0016382866,0.000611044,-0.000916341,-0.000122639,-0.0020789097,-0.0016117533,-0.00021184063,4.092793e-05,0.00036454364,-9.336494e-05,-0.00033681988,0.00043556,0.00071828964,0.0004467384,0.000303722,0.00027593726,-3.8514976e-05
39,-540.0381,133.72832,-7.575199,2.5247521,3.8452935,5.9315634,-9.735284,-11.419069,-0.9468811,-6.205703,-3.588178,-3.6040695,1.227281,-0.019803476,-0.017440012,-0.0012755765,-0.0017037953,-0.004384679,-0.0038032304,0.001162972,0.0048962985,0.0024070237,0.0034823876,0.0027999172,0.00033789556,0.00059303653,-0.012335423,-0.007762463,0.00023092197,0.0014596515,0.0008848973,-0.0005663983,0.00020399962,0.0011891648,0.0017284224,0.0033325185,0.0033225296,0.0006884236,0.0012599565
40,-541.4328,132.80309,-6.055501,-2.6490617,-1.9182163,2.532727,-7.1778464,-8.929184,-1.5206109,-6.9851956,-2.4938655,-1.3630049,2.194799,0.03769124,-0.009754823,-0.031941473,-0.0017483984,-0.0016822651,0.0070977597,-0.0038812093,-0.0024687767,-0.010769522,-0.014765814,-0.0027549125,-0.010135437,-0.009171154,-0.022627097,-0.011531959,7.346091e-06,-0.0028532194,-0.0018759709,0.0008884869,0.01089528,0.0066823172,-0.0018412466,0.00260757,0.0055782143,0.007218594,-0.0013566567
41,-529.25165,114.740685,5.7374535,-4.7756295,3.7198281,2.4553006,-8.003143,-6.981792,-2.5716348,-5.2729573,-4.596189,-1.1947773,-2.6076074,-0.006125179,-0.007160245,-0.0012243653,0.0027974679,0.0015193779,0.0022043854,0.0018517686,-0.0014134347,-0.0014411847,0.0012799397,0.001149976,-0.0010162636,-0.00044402553,-0.0029388475,-0.00047841648,0.0011187636,-0.0003981284,0.0005069731,0.00017882629,-0.00017973421,-0.00017893723,-6.349005e-05,-0.00018989171,-0.00028848293,0.00018404581,-3.4150287e-06
42,-602.6044,97.886925,2.7623792,6.635572,-3.4407597,1.2165494,-2.2887392,-5.8154583,-2.9271374,-6.2119336,-1.7332865,-5.029902,-2.2158797,-0.066365935,-0.058422577,-0.0026589052,0.025407573,0.04306251,0.02367515,0.008508868,-0.008417887,-0.010142917,0.003451448,0.009857548,0.01035815,0.008511688,-0.054998156,-0.030509625,-0.0047201174,0.0084696235,0.013460523,0.0021150848,0.007814628,0.0117902905,0.0063604363,-0.0004301977,0.0033265254,0.0036636358,0.00789001
