,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
405,0.065497965,0.5902404,14.104542,0.052351635,7.270323e-05,0.0028132529,6.297664,0.65009236,-10.3384695,7.0047145,0.0,0.0,0.0,0.0,0.0,0.0,423.52225,1012.8614,-201.0,1403.211,702.64355,-201.0,2662.167,945.6189,-201.0
406,0.117232054,-24.13108,36.860886,0.003436925,-0.018168904,0.018889142,38.433502,16.2778,12.490933,-1.9798256,40.44657,0.0,4.6309586,6.641556,5.8593483,39.939373,991.81903,1204.0975,-1.6182228,2194.0168,814.23676,-33.62232,3353.6172,785.5871,-35.698246
407,0.36188784,-9.235295,14.094588,0.11698344,-0.02107969,0.14023808,20.585924,-26.503576,-0.43438068,-37.142605,37.145008,0.0,0.0,1.9053646,-26.544355,-7.023369,958.87177,1713.8531,30.754845,1865.6688,803.3501,18.258638,3085.7285,551.98883,15.5392885
408,0.18916781,-11.845927,22.885422,0.07522608,-0.011104833,0.014986042,32.295994,-7.137357,4.8998504,-9.551237,34.162815,0.0,0.0,5.4778666,-9.848565,11.153928,362.2754,1677.332,-9.053885,1462.764,2755.9717,-17.938824,1950.0546,1117.0548,-20.207815
409,0.14029287,-13.718053,27.91395,0.11434697,0.0069313957,0.0053140633,21.328386,4.3705525,8.320611,13.536096,25.806223,0.0,1.0590086,3.526246,-2.4190419,24.138231,1152.1743,764.4235,2.3035672,2169.763,1184.543,1.6717218,3325.0378,1457.6359,-2.0050488
410,0.5053096,-7.830251,8.512371,0.104820825,-0.027997011,0.37922812,17.58931,-21.571518,-2.2513964,-41.606346,39.662502,0.0,0.0,4.44268,-1.7446622,31.584478,796.1165,1353.8827,4.1836534,1869.919,601.25354,-13.8773575,3094.3281,513.83075,-29.145487
411,0.07421092,-9.555755,13.528694,0.0877071,-0.01787732,0.018886814,18.859066,4.2714477,9.438728,-5.1197944,34.863514,0.0,0.0,6.2176056,2.294584,25.745438,577.7972,1298.9984,-7.9893546,1757.3003,706.6199,-31.061079,2879.1921,1151.0631,-29.949213
412,0.30254868,-12.203887,12.747581,0.15638755,-0.030344285,0.07165236,25.083519,-5.3248963,4.846975,-18.118963,41.436554,0.0,1.1453646,7.921681,5.765907,15.180806,789.2093,1185.7274,-20.809645,1826.3267,533.0725,-18.782446,3012.096,403.19913,-30.224546
413,0.21809258,-17.7926,28.266464,0.06899182,-0.018030524,0.026029559,36.352158,-2.189936,-7.812496,-14.060042,42.613438,0.0,4.031986,-0.04101153,7.205885,15.83747,872.9475,1123.486,1.9821348,1957.8558,1036.5344,-16.009079,2910.4785,932.707,-6.649451
414,0.06984302,-13.911971,27.391016,0.095382035,-0.011110589,0.013322037,28.099356,6.3089614,0.59870917,-10.071701,0.0,0.0,0.0,0.0,0.0,0.0,366.33878,1769.1343,-201.0,1404.0128,1151.9419,-201.0,2750.7712,1582.0659,-201.0
415,0.20620815,4.4604187,4.208347,0.14469318,0.0066585583,0.012532167,-11.228168,4.4534707,-6.363465,6.2022405,43.77943,0.0,0.0,-1.6073467,20.419662,17.954718,1161.2607,256.1786,-15.961087,2372.9248,772.41846,-3.6232853,3337.9167,376.62134,-12.167966
416,0.14136572,3.677347,5.7352376,0.05623773,0.013289903,0.004534838,2.6279812,-21.001465,-6.5866723,-7.3856583,0.0,0.0,0.0,0.0,0.0,0.0,1074.2277,922.86084,-201.0,2107.5544,1171.0051,-201.0,2915.211,972.075,-201.0
417,0.2863932,-7.026735,17.868017,0.1329706,-0.018171487,0.0619241,19.721521,-5.6345105,-19.98955,-3.7452037,38.859676,0.0,0.0,1.6863464,2.5453205,1.4821024,195.22215,1988.4662,0.0,1185.4427,1882.0194,-22.452324,2046.4652,1283.4706,-14.627205
418,0.09491676,-2.1018083,6.962818,0.016125182,0.0021057748,0.012736082,8.356037,3.0661669,9.618802,2.060466,0.0,0.0,0.0,0.0,0.0,0.0,818.1109,881.47534,-201.0,1851.0977,677.622,-201.0,2909.004,984.50726,-201.0
419,0.97456926,4.608029,5.4266067,0.121703684,0.01873689,0.4323649,14.854118,-60.26907,-9.3582945,-20.60837,49.242462,0.0,0.0,3.3285172,1.8607937,21.882242,1108.7817,1117.0679,12.394582,1913.1405,1007.1636,6.4446716,2988.8896,736.81,-9.487659
420,0.1823961,-9.89486,19.270475,0.10087637,-0.008863424,0.014592507,30.653273,-21.324682,5.2142606,-29.299082,41.793915,0.0,0.0,12.328148,8.82066,14.889664,377.60693,1269.8784,0.0,1372.6816,1031.707,-11.14829,2319.278,1091.3068,-17.107498
421,0.06819296,-19.429884,35.52261,0.068232894,-0.0006151904,0.01108773,27.894592,8.337331,9.072964,5.8801084,35.586193,0.0,4.190475,10.308032,12.787763,27.5274,963.85236,935.1875,-22.272463,2045.848,904.97736,-38.630173,3096.344,641.43085,-42.57325
422,0.08449706,-10.141547,21.49766,0.06497189,-0.010442972,0.009125711,25.697882,3.194255,-8.8681,0.30977106,0.0,0.0,0.0,0.0,0.0,0.0,344.96982,1535.14,-201.0,1244.7863,1429.4551,-201.0,2149.303,1019.3084,-201.0
423,0.08747643,-5.644825,21.038443,0.044374835,0.006458694,0.015240555,22.582644,-3.972991,-2.240834,-0.49545065,0.0,0.0,0.0,0.0,0.0,0.0,276.00034,1445.255,-201.0,1272.983,969.4871,-201.0,2507.152,744.58,-201.0
424,0.07455205,-17.20703,30.101763,0.09273244,-0.023537667,0.004203292,30.130981,5.8110414,-11.872655,-14.996296,0.0,0.0,0.0,0.0,0.0,0.0,446.19006,1154.9481,-201.0,1413.5326,1132.8439,-201.0,2663.219,1426.1832,-201.0
425,0.22635007,0.81645745,1.9367275,0.036349926,-0.005384305,0.01414435,2.902467,-5.1820083,9.618672,-11.199089,31.440557,0.0,0.0,-0.4818419,-2.193783,13.980748,383.5337,983.61945,0.0,1531.6094,466.70105,-8.7626505,2342.6716,937.67303,-9.400069
426,0.1521945,-8.29173,15.877149,0.036569834,-0.0064868773,0.011223339,29.381134,-10.135349,23.15448,9.600998,24.459108,0.0,0.9872828,-6.578258,-9.229454,10.94566,979.4802,1143.4061,-0.12371826,1946.0801,1049.2924,-8.858453,2895.254,1131.728,-17.019098
427,0.27740815,-6.009159,13.736062,0.0690474,-0.011320367,0.05395009,28.05556,-19.359488,4.494955,-10.156705,37.252033,0.0,0.0,-0.4878811,11.757698,11.887315,862.90015,1172.0465,-4.7090955,1918.5739,935.05524,-6.09498,2891.9739,1123.5681,-3.6244938
428,0.26954666,-6.9747376,28.893417,0.14246462,-0.020245304,0.08868606,35.213867,-12.429833,-21.502161,-28.384417,32.93362,0.0,1.7884239,1.5566397,0.2786244,25.8088,1009.5049,1076.9901,28.63977,2123.9275,1015.63055,-1.583931,3183.5417,809.43555,-10.983106
429,0.15382488,-7.7025304,18.080275,0.12000392,-0.0069740056,0.0067201424,19.039108,-1.107052,-7.1084237,-2.3234959,31.763712,0.0,0.82586926,1.5302129,4.855145,32.354893,1201.9467,868.48193,-6.8898826,2350.4788,747.12897,-16.906424,3401.8958,929.7039,-21.553207
430,0.09789792,-6.7468095,13.017933,0.047253042,0.0052059735,0.005331272,22.319475,-3.6761897,13.429694,7.7657433,0.0,0.0,0.0,0.0,0.0,0.0,479.63232,1494.4437,-201.0,1434.3105,988.847,-201.0,2489.4756,688.0887,-201.0
431,0.09062616,-14.822886,22.466223,0.053476494,0.0034125706,0.0067211953,27.964798,1.5556836,26.828857,3.435131,28.063751,0.0,1.831333,-0.065911055,0.44868532,16.717892,1223.0822,1150.9747,-6.322249,1652.1143,2584.8787,-6.467863,2777.9004,955.95197,-8.341482
432,0.1592187,-12.266601,21.047667,0.056438684,-0.007536396,0.06217509,24.17578,2.2506983,19.599302,0.6054074,24.95286,0.0,0.0,1.6913031,-6.9247746,2.0989673,270.71225,1381.7372,2.7051256,1365.9435,777.60376,-5.0142765,2351.2273,940.7951,-1.8011438
433,0.28186762,-4.3369904,8.368462,0.11024464,-0.012915489,0.038322933,14.954728,-1.8493013,30.974173,9.106319,40.618176,0.0,0.0,9.949917,19.240532,5.8758407,610.75275,1010.55255,0.0,1692.9391,533.64545,-32.297894,2660.1797,725.1682,-25.645956
434,0.114938796,-14.451603,23.878778,0.10119704,-0.023455456,0.010521904,30.403267,-0.5000045,-0.16688882,-8.343282,39.96375,0.0,0.0,-2.872081,10.475871,9.9575405,416.82828,1301.9071,0.0,1452.2164,1305.7836,-11.966281,2003.1813,1517.7529,-3.901308
435,0.11262157,-5.071056,8.580269,0.08395789,-0.017456362,0.0037233485,6.393461,6.0777907,2.685603,-17.242062,0.0,0.0,0.0,0.0,0.0,0.0,456.27402,960.83417,-201.0,1909.4733,828.0432,-201.0,2654.282,1344.7692,-201.0
436,0.21680117,-10.449333,26.121046,0.10308054,-0.021639861,0.05395172,29.623358,-12.67408,-19.341719,-22.99903,30.938828,0.0,0.0,1.7319988,-2.8377266,11.704795,344.546,1253.4579,5.164668,1248.3207,1001.0076,5.8049245,2383.4856,847.9465,-6.5401263
437,0.11318197,-11.772971,19.12829,0.08675971,-0.015444576,0.0101303365,31.409063,-5.9874535,23.296919,-4.4510117,0.0,0.0,0.0,0.0,0.0,0.0,373.95007,1192.786,-201.0,1475.3378,819.04193,-201.0,2440.1282,1234.9238,-201.0
438,0.12464106,-5.619249,13.611211,0.042237867,-0.010593556,0.005640592,17.773094,-12.623784,8.664795,-15.067607,0.0,0.0,0.0,0.0,0.0,0.0,365.37112,1197.5028,-201.0,1490.2588,1015.14014,-201.0,2386.133,1044.1606,-201.0
439,0.0879542,-12.189336,15.8580885,0.05643027,-0.005107695,0.004512316,15.747394,20.750568,9.378132,-8.977239,0.0,0.0,0.0,0.0,0.0,0.0,816.34357,1366.9344,-201.0,2016.7899,688.7465,-201.0,3121.696,154.41139,-201.0
440,0.17088616,-15.333714,22.152588,0.13042933,-0.010942471,0.015173639,30.100027,-3.7667055,13.756789,-0.44571462,30.403593,0.0,0.589662,-0.4280007,1.0838865,21.245628,266.28577,1432.628,22.396622,1454.5541,1034.4061,10.230739,2230.3127,1070.1608,-0.22862077
441,0.5078787,-4.763759,22.795675,0.09581402,-0.00241582,0.08320028,32.982944,-34.43868,-23.128716,-30.315514,26.155792,0.0,3.0431116,-3.5731704,-9.578628,13.968266,631.8732,1156.0668,11.312004,1513.6117,999.9121,3.735511,2608.5947,899.6341,-9.946017
442,0.07543272,-8.379019,20.66363,0.078269444,0.0063468083,0.0021470117,25.684847,-1.9580173,5.8197885,6.1420975,0.0,0.0,0.0,0.0,0.0,0.0,844.969,1160.0312,-201.0,1814.6234,1210.5846,-201.0,2865.1077,660.5521,-201.0
443,0.06959245,-24.986574,39.972363,-0.037780613,-0.010977807,0.026293144,33.26714,16.294003,12.117962,12.2817,0.0,0.0,0.0,0.0,0.0,0.0,1217.1451,1621.1962,-201.0,2062.6274,1808.6782,-201.0,3246.8938,747.41656,-201.0
444,1.2669021,13.594714,-8.1776705,0.1328515,0.0050526615,0.22331953,-17.673742,-22.088575,-1.0169444,-21.715277,0.0,0.0,0.0,0.0,0.0,0.0,1372.5166,694.33514,-201.0,2084.7244,1225.8558,-201.0,3310.3948,740.5913,-201.0
445,0.15199782,-7.6899953,20.214905,0.090611495,-0.0115513345,0.015796907,33.240112,-6.98739,-22.85266,2.308607,26.40197,0.0,0.0,-2.8508348,6.96587,14.678569,405.48788,1359.1869,-4.9172254,1297.4797,1236.544,-2.9178429,2192.795,1060.9441,-15.3270035
446,0.101967536,-5.2571054,17.211542,0.07806227,-0.0020123855,0.0064189024,24.67717,-4.215074,-11.69717,3.9808352,28.374329,0.0,0.0,0.30103597,-12.126536,24.678696,647.8648,1453.166,10.286939,1577.3693,1220.3804,-2.253232,2803.2024,1317.9441,-22.469828
447,0.13568543,-13.343024,20.862244,0.093913585,-0.02463291,0.019610824,34.354485,-8.752007,-5.340775,-17.63698,0.0,0.0,0.0,0.0,0.0,0.0,729.8309,1229.8998,-201.0,1787.847,991.79706,-201.0,3016.5261,943.30194,-201.0
448,0.05589987,-12.828849,23.092361,0.08084663,-0.011295111,0.004588352,27.937796,7.3212776,-3.5942745,-1.9379377,0.0,0.0,0.0,0.0,0.0,0.0,969.2576,1382.7335,-201.0,2003.3436,2173.3167,-201.0,2719.057,943.9499,-201.0
449,0.47404936,-0.46729088,19.050638,0.113042116,0.0059548407,0.23858279,36.944813,-33.512627,-27.144045,0.7170194,29.816322,0.0,6.0206,-19.08809,10.783904,7.316456,171.73578,1627.3651,0.0,1222.8282,1209.9891,17.851126,2185.6243,960.2232,-5.1216474
