,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12
10,-405.86722,173.14867,-40.634613,-7.664817,-7.553957,-8.115372,-23.325825,-15.040363,-3.1276855,-19.909624,-4.307331,-2.8070385,-9.727956,-0.015531385,-0.006955959,0.005290007,0.0027599095,0.0037710073,0.0034524722,-0.0005791067,0.00362737,-0.00038672762,-0.0014711258,0.00043499516,-0.004355645,-0.0020236215
11,-399.9441,167.72769,-39.599194,-8.247195,-8.096518,-10.816106,-23.868889,-14.9314575,-5.114229,-20.594185,-3.924797,-3.7289715,-10.724949,0.006749564,-0.0061761555,-0.009141755,0.004398178,0.006243396,0.0053048586,-0.0018786448,0.0009370856,0.0043059755,-0.0032903343,-0.00340688,0.00090389233,0.0021446866
12,-415.86346,182.69656,-47.193275,4.9310846,-14.393107,-2.4743896,-25.090841,-11.570195,-3.4956903,-18.31456,-1.0206773,-4.045544,-6.534567,-0.018176997,0.004798923,0.015908148,0.0021231284,0.005190946,0.003967627,0.0072754584,0.011551052,0.0046136053,0.0013449448,0.0035094407,-0.0063173915,-0.0064824824
13,-417.19104,174.77025,-49.238895,-0.995037,-16.010302,-6.9229083,-24.293123,-12.726138,-4.1979685,-20.544857,-1.5870605,-5.6878824,-8.68171,0.0017616902,0.001755151,-0.0010389059,0.0010689197,0.0036089043,0.001304492,0.0023739655,-0.0037476898,0.0013072608,0.0008780207,-0.0021033203,0.0018487241,-0.003499552
14,-425.11142,192.42361,-55.96881,8.160552,-16.395674,0.16942477,-28.937069,-9.015399,-3.5673008,-17.699932,0.6297523,-3.907693,-5.4380054,0.01232515,0.0041816314,0.0059908135,0.00058744545,-0.010951061,-0.00067178975,0.0020198321,0.005954213,0.0012400497,-0.0016072277,-0.0034103785,-0.0033241825,0.0015856074
15,-411.3203,181.9284,-48.62398,1.9717041,-10.25478,-7.03003,-24.846594,-10.222861,-1.7087475,-17.741987,0.32106286,-2.8467932,-6.8284135,-0.00193105,-0.0043577394,-0.0049634874,0.001480549,-0.0009791999,-0.003214974,0.0053555784,0.0046416884,0.00079415063,-0.0010448634,-0.0014961929,-0.0023624417,-0.0058162734
16,-413.0681,166.40959,-42.596054,-4.9545436,-14.596229,-11.006705,-21.916458,-11.761974,-5.2244415,-19.751192,0.010146525,-5.185512,-9.72485,-0.007427691,-0.007551161,-0.002217644,-0.0033325152,0.0016784074,0.008056348,0.0028539805,0.0015917305,-0.0021269352,-0.0035159255,0.001826154,-0.0006623586,-0.00066251226
17,-418.3587,178.8906,-52.13365,0.40260935,-18.957802,-4.2575736,-24.978128,-11.183357,-5.166934,-21.481201,-0.90763336,-6.146983,-7.9569554,0.006552447,0.015943533,-0.00047809895,-0.0063458066,0.0053930185,0.0010240556,0.0030260587,0.0029715993,0.00062086666,-0.0020532107,-0.0036827798,0.0009815616,0.00034471482
18,-422.6507,182.59167,-52.213814,7.3656297,-18.204716,0.60892576,-25.464771,-6.9654064,-4.601657,-16.04042,0.6647867,-3.1180863,-6.334184,-0.0018118867,0.0017031592,0.0013752324,0.0021430517,0.0013791461,0.0017721215,0.0005709091,0.00029366187,0.0014965561,-0.0003449444,-0.00074263965,-0.0008302679,-0.00079329865
19,-409.3905,164.91734,-41.389458,-1.1491908,-11.827648,-7.985062,-19.915295,-10.581989,-4.7548423,-17.107944,0.8340405,-5.1965723,-8.244204,-0.0073769037,-0.0043579303,-0.0132402545,-0.011227679,-0.0045344895,-0.00409083,-0.001984418,-0.003633975,-0.0023344932,-0.0009315161,-0.0037196625,-0.004812464,0.0017670103
