,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
10,0.640237,-4.5012674,15.302402,0.13599524,-0.009744608,0.07685832,20.906961,-19.719282,-3.946112,-21.507494,27.44111,0.0,0.0,0.998539,-11.630826,-1.247353,1159.0525,969.0647,16.44562,2261.8174,697.70087,8.744057,3301.8613,574.1602,11.834931
11,0.58772266,-4.781403,16.504679,0.039494526,-0.0065135565,0.17152719,19.621923,-27.73556,-15.243796,-21.071945,28.952871,0.0,0.0,3.9359913,7.757309,-6.1274123,868.15576,1153.0468,13.624305,1873.9115,1886.8754,12.426578,2652.8462,972.6298,15.844421
12,0.5617631,-3.6792793,19.479662,0.1347388,-0.008575744,0.051783208,24.714096,-25.243172,-5.6863823,-21.213488,20.484747,0.0,0.0,-3.4362345,-1.7208996,6.0070224,1068.1764,1068.3638,30.093407,2076.5886,1094.2592,21.741531,3193.2527,735.52985,18.132303
13,0.7689635,-7.5763283,14.367431,0.114652045,-0.022583878,0.16619292,23.192474,-28.127678,-2.1074126,-30.682798,34.008457,0.0,0.0,4.1899085,-2.6050336,7.5994134,347.5972,978.64014,10.876976,1367.6796,700.2376,10.8200865,2424.3516,549.238,4.5419326
14,0.49292755,-6.123169,16.01013,0.12964527,-0.011275909,0.06107135,19.213644,-17.945326,-7.395626,-32.43676,0.0,0.0,0.0,0.0,0.0,0.0,751.58246,1250.541,-201.0,1761.251,1143.2233,-132.80193,2802.919,747.24,-138.18744
15,0.4794116,-1.1448082,7.117742,0.08966813,0.003334264,0.036844973,17.55873,-29.963251,5.325689,-14.689235,0.0,0.0,0.0,0.0,0.0,0.0,385.66434,947.3454,-201.0,1463.6371,887.83673,-201.0,2464.1912,929.6084,-201.0
16,0.5830875,-4.651673,14.480324,0.109796606,-0.009052329,0.08768254,24.277746,-21.027548,-2.608857,-11.311516,31.33181,0.0,0.0,-3.46649,-12.059569,1.8715411,325.84634,1285.8785,-7.11236,1338.9628,1026.7035,-3.4729528,2395.4646,790.0081,-9.081677
17,0.5538384,-4.616961,14.856968,0.10317042,-0.012650408,0.06928762,19.715364,-28.28071,-5.123832,-24.323805,21.531212,0.0,0.0,0.08882173,-5.5196786,-6.4347844,1219.6621,1024.7977,25.356512,2289.9436,2128.0588,26.917618,3074.7898,825.1089,25.048857
18,0.55030996,-5.961918,11.922452,0.14281584,-0.008892198,0.059678625,19.840498,-19.373026,-8.408156,-25.016676,24.352903,0.0,0.0,-1.4908568,-7.5823226,-2.500047,1415.2021,1183.3198,12.466495,2375.8582,2166.7224,7.206192,3206.72,815.6265,7.073452
19,0.49109924,-6.059246,15.883319,0.11774376,-0.011746038,0.06031133,19.864563,-17.479753,-6.238172,-30.82112,0.0,0.0,0.0,0.0,0.0,0.0,736.2237,1254.2771,-201.0,1747.1742,1140.9119,-201.0,2793.1892,737.4878,-201.0
20,0.7862691,-11.71899,16.770292,0.0992462,-0.02077079,0.1600139,24.886805,-7.565605,4.3533573,-15.89181,36.55237,0.0,1.3530222,7.116947,10.865349,21.523018,389.89163,1396.855,-5.9916534,1364.4468,1374.3824,-24.02297,2222.096,823.3161,-28.181793
