,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
12,-399.84952,170.71248,-38.525383,-9.729287,-5.771266,-9.960386,-24.554184,-15.620042,-4.1527004,-20.522558,-5.136576,-2.2326553,-10.39065
13,-416.32404,183.82576,-48.009136,1.8216343,-14.404363,-1.2229302,-26.921312,-13.433852,-3.671883,-20.534767,-3.1650715,-4.9473877,-7.7467422
14,-417.31094,172.24846,-49.30256,0.33843136,-16.7997,-7.330109,-24.25437,-11.080147,-5.4565616,-20.908976,0.114602625,-6.796944,-8.955534
15,-422.92783,190.47144,-57.883797,5.0834417,-18.606909,1.9003015,-29.844698,-11.899352,-4.1277437,-21.195919,-2.596097,-5.0279427,-6.6406856
16,-412.30487,180.8368,-48.676777,-0.75772834,-12.061484,-4.0127583,-26.037724,-13.520218,-2.7420857,-19.998446,-2.0023062,-4.3687587,-8.207585
17,-411.12967,174.14017,-42.025486,-8.968827,-11.141612,-8.956658,-23.60766,-14.53708,-3.4829724,-19.865705,-3.1206849,-2.8177447,-9.397209
18,-424.30658,176.22643,-49.02493,1.7250503,-19.246414,-5.1855817,-23.767918,-11.662588,-5.464844,-20.288208,-0.9431204,-6.5719585,-8.024125
19,-421.02866,182.2739,-52.198563,7.003086,-18.129175,0.023384662,-25.38251,-6.709627,-4.263069,-16.491077,1.1160072,-3.622303,-6.1756496
20,-408.89862,174.86314,-39.324234,-2.4146988,-4.1309214,-7.7380714,-20.080914,-10.66183,-1.3479003,-13.790717,1.0730469,-0.089759745,-6.2514668
21,-408.48068,178.38135,-45.025173,0.43787646,-15.680186,-3.8009338,-23.482002,-12.139007,-4.61061,-20.172817,-2.194706,-5.2396483,-7.610589
22,-422.27463,188.74834,-56.105625,6.150662,-16.21824,3.1215866,-27.34641,-8.348489,-3.9148088,-18.319252,-2.018266,-2.1884222,-7.4521046
23,-390.5307,161.15166,-31.586765,-6.5773816,-7.3983526,-11.098583,-19.027966,-12.766766,-5.9413514,-17.386053,-3.428069,-3.8816457,-10.229625
24,-410.72766,177.03354,-47.572918,2.9738328,-15.625504,-2.5673482,-23.390501,-12.259025,-3.9943833,-19.799908,-2.6214356,-4.8736396,-6.8631725
25,-411.73157,176.37929,-49.5807,7.4683466,-17.72899,-3.0608103,-24.033848,-9.3927765,-5.715995,-19.088732,0.056314353,-6.4957523,-7.1626596
26,-416.57483,187.07065,-49.124886,3.9526472,-15.454006,2.736242,-27.484522,-11.728375,-5.0409884,-19.260246,-1.9902798,-4.357178,-7.367326
27,-411.57462,179.66318,-46.723434,-0.9751497,-12.937803,-2.1451447,-24.489906,-12.712191,-3.0527227,-19.89759,-2.5902278,-3.935351,-7.467642
28,-416.83453,182.30313,-50.87085,2.4287083,-15.219844,-0.4010771,-26.123823,-11.982132,-3.4501526,-18.318398,-1.255229,-4.219322,-7.1885977
29,-404.78717,171.07236,-42.885094,-6.4466214,-10.413509,-7.246222,-22.644947,-14.866217,-4.320399,-19.981277,-3.136892,-2.948904,-8.332543
30,-420.46777,185.85703,-49.27378,4.1797743,-7.9442725,-3.7508223,-22.182302,-6.9891634,0.43908143,-14.817797,2.1674843,-0.9492623,-4.933335
31,-420.56262,186.29973,-51.6772,5.872696,-16.179462,1.7565122,-26.564137,-8.494978,-3.917063,-16.445124,-0.8085734,-2.169079,-6.0451646
32,-410.38837,178.83754,-42.91234,3.5813048,-10.426509,-2.3607929,-20.75609,-11.125492,-3.0542872,-16.300919,-0.5822777,-3.1636326,-6.463639
33,-405.3594,178.41367,-48.66059,8.616139,-18.39794,-3.0914497,-24.25766,-7.1598406,-4.647103,-19.06535,0.6667415,-7.3735933,-8.464803
34,-419.47818,186.75087,-55.05979,4.794514,-15.865582,2.2015455,-25.946777,-8.782167,-3.772991,-18.557701,-1.393394,-2.5105824,-6.3663526
35,-382.17404,148.97264,-22.255997,-18.250996,-0.15505281,-11.810126,-20.481089,-12.261314,-7.505861,-14.573793,-5.1139636,-2.1744394,-9.171842
